Project #,Request Status,Queue Date,Withdrawn Date,Done Date,Appl In Service Date,Transmission Owner,County,State,County FIPS Code,Study Cycle,Study Group,Study Phase,Service Type,POI Name,Summer MW,Winter MW,Fuel,Generating Facility,Post GIA Status,Negotiated In Service Date,Decision Point 1 ERIS MW,Decision Point 1 NRIS MW,Decision Point 2 ERIS MW,Decision Point 2 NRIS MW
G338,Done,4/23/03,,10/25/04,8/15/08,Wisconsin Electric Power Company,Dodge County,WI,55027,G338,G338,Network Upgrade,ERIS,Rubicon - Hartford 138kV,54,54,Wind,WT Wind Turbine,In Service,10/1/03,0,0,0,0
G340,Done,5/1/03,,12/19/03,,Otter Tail Power Company,Lincoln County,MN,27081,G340,G340,Network Upgrade,ERIS,Toronto 41.6kV,1,1,Wind,WT Wind Turbine,In Service,7/1/06,0,0,0,0
G339,Withdrawn,5/2/03,10/7/03,10/7/03,,Montana-Dakota Utilities Company,Dickey County,ND,38021,,,,ERIS,Unknown,150,150,Wind,WT Wind Turbine,Not Started,7/1/03,0,0,0,0
G348,Done,5/23/03,,9/12/03,,ITC Midwest,Cass County,IA,19029,G348,G348,Network Upgrade,ERIS,ITC Midwest Anita 34.5 kV,2,2,Diesel,"IC Internal Combustion (diesel, piston) Engine",In Service,,0,0,0,0
G342,Done,6/1/03,,6/30/03,,Upper Peninsula Power Company,Baraga County,MI,26013,G342,G342,Network Upgrade,ERIS,Warden Gen Station,18,18,Gas,CT Combustion Turbine (Simple Cycle),Retired,7/1/03,0,0,0,0
G343,Done,6/1/03,,6/30/03,,Upper Peninsula Power Company,Baraga County,MI,26013,G343,G343,Network Upgrade,ERIS,Warden Gen Station,20,20,Diesel,"IC Internal Combustion (diesel, piston) Engine",Retired,5/1/02,0,0,0,0
G344,Done,6/1/03,,9/16/03,,Wisconsin Electric Power Company,Dickinson County,MI,26043,G344,G344,Network Upgrade,ERIS,Plains Substation,15,15,Diesel,"IC Internal Combustion (diesel, piston) Engine",Retired,,0,0,0,0
G345,Done,6/1/03,,6/30/03,,Wisconsin Electric Power Company,Schoolcraft County,MI,26153,G345,G345,Network Upgrade,ERIS,Manistique Substation,5,5,Diesel,"IC Internal Combustion (diesel, piston) Engine",Retired,,0,0,0,0
G346,Done,6/1/03,,9/16/03,,Wisconsin Electric Power Company,Schoolcraft County,MI,26153,G346,G346,Network Upgrade,ERIS,Glen Jenks Substation,5,5,Diesel,"IC Internal Combustion (diesel, piston) Engine",Retired,,0,0,0,0
G347,Done,6/1/03,,9/16/03,,Wisconsin Electric Power Company,,MI,#N/A,G347,G347,Network Upgrade,ERIS,Armory Substation,15,15,Diesel,"IC Internal Combustion (diesel, piston) Engine",Retired,,0,0,0,0
G349,Done,6/2/03,,5/26/06,11/1/10,Northern States Power (Xcel Energy),Lincoln County,MN,27081,G349,G349,Network Upgrade,ERIS,Brookings County Substation,200,200,Wind,WT Wind Turbine,In Service,12/31/06,0,0,0,0
G350,Done,6/18/03,,8/6/04,,ITC Transmission,Monroe County,MI,26115,,,SPA - SIS,ERIS,Fermi 345 kV substation,159,159,Nuclear,"ST Steam Turbine (including nuclear, geothermal and solar steam, excluding combined-cycle)",In Service,,0,0,0,0
G355,Done,6/27/03,,4/20/04,,ITC Midwest,Muscatine County,IA,19139,G355,G355,Network Upgrade,ERIS,West Liberty Muni Sub 69kV,6,6,Diesel,"IC Internal Combustion (diesel, piston) Engine",In Service,5/2/03,0,0,0,0
G351,Done,7/2/03,,7/5/06,,Northern States Power (Xcel Energy),Dakota County,MN,27037,,,Optional,NRIS,Dakota County 345 kV Substation,200,200,Gas,CT Combustion Turbine (Simple Cycle),Withdrawn,10/1/05,0,0,0,0
G352,Done,7/2/03,,7/5/06,,Northern States Power (Xcel Energy),Dakota County,MN,27037,,,Network Upgrade,NRIS,Dakota County 345 kV Substation,200,200,Gas,CT Combustion Turbine (Simple Cycle),Withdrawn,11/30/11,0,0,0,0
G353,Done,7/23/03,,4/27/04,,Wisconsin Electric Power Company,Fond du Lac County,WI,55039,G353,G353,Network Upgrade,ERIS,Acadian - Forest Junction 345kV,80,80,Wind,WT Wind Turbine,In Service,1/1/07,0,0,0,0
G354,Done,7/23/03,,4/27/04,,Wisconsin Electric Power Company,Fond du Lac County,WI,55039,,,Optional,ERIS,Acadian - Forest Junction 345kV,80,80,Wind,WT Wind Turbine,In Service,1/1/09,0,0,0,0
G357,Withdrawn,8/4/03,2/10/04,2/10/04,,Northern States Power (Xcel Energy),Sibley County,MN,27143,,,,ERIS,Unknown,20,20,Wind,WT Wind Turbine,Not Started,9/30/07,0,0,0,0
G358,Done,9/30/03,,1/24/07,10/31/12,ITC Midwest,Faribault County,MN,27043,,,Network Upgrade,ERIS,Winco - Winnebago 161kV,36,36,Wind,WT Wind Turbine,In Service,9/1/03,0,0,0,0
G362,Done,9/30/03,,10/14/08,10/1/11,Great River Energy,Mower County,MN,27099,G362,G362,Network Upgrade,NRIS,Pleasant Valley Substation,200,200,Wind,WT Wind Turbine,In Service,9/1/14,0,0,0,0
G364,Withdrawn,10/10/03,8/25/04,8/25/04,,"Michigan Electric Transmission Company, LLC",Manistee County,MI,26101,,,Network Upgrade,ERIS,Unknown,425,425,Coal,,Withdrawn,5/1/07,0,0,0,0
G365,Withdrawn,10/15/03,8/19/05,8/19/05,,Great River Energy,Pope County,MN,27121,,,SPA - SIS,ERIS,Williams Substation,11,11,Wind,WT Wind Turbine,Not Started,6/1/04,0,0,0,0
G366,Done,10/15/03,,2/23/05,,American Transmission Co. LLC,Columbia County,WI,55021,G366,G366,Network Upgrade,ERIS,Friesland substation,80,80,Wind,WT Wind Turbine,Withdrawn,12/1/05,0,0,0,0
G368,Done,10/15/03,,4/25/05,12/31/07,Wisconsin Electric Power Company,Dodge County,WI,55027,G368,G368,Network Upgrade,NRIS,South Fond du Lac - Butternut 138kV,200,200,Wind,WT Wind Turbine,In Service,9/1/07,0,0,0,0
G367,Withdrawn,10/16/03,3/25/05,3/25/05,,Ameren Illinois,Fulton County,IL,17057,,,SPA - SIS,ERIS,AEGR Duck Creek Gen Plant,800,800,Coal,,Withdrawn,10/31/07,0,0,0,0
G369,Done,10/17/03,,10/28/04,,Northern States Power (Xcel Energy),Scott County,MN,27139,G369,G369,Network Upgrade,ERIS,Blue Lake 115 kV,385,385,Gas,CT Combustion Turbine (Simple Cycle),In Service,6/1/06,0,0,0,0
G370,Done,10/17/03,,1/11/05,,Northern States Power (Xcel Energy),Minnehaha County,SD,46099,G370,G370,Network Upgrade,ERIS,Anson 4,205,205,Gas,CT Combustion Turbine (Simple Cycle),In Service,12/1/07,0,0,0,0
IP08,Done,10/22/03,,9/6/07,,Ameren Illinois,Woodford County,IL,17203,,,Network Upgrade,NRIS,"IP line 1382, 138 kV",80,80,Wind,WT Wind Turbine,Withdrawn,12/1/06,0,0,0,0
G373,Withdrawn,10/23/03,4/16/04,4/16/04,,Great River Energy,Murray County,MN,27101,,,,ERIS,Unknown,9.89,9.89,,,Not Started,11/1/04,0,0,0,0
G371,Withdrawn,10/27/03,9/29/04,9/29/04,,American Transmission Co. LLC,Columbia County,WI,55021,,,SPA - SIS,ERIS,Friesland 138kV,100,100,Wind,WT Wind Turbine,Not Started,3/1/04,0,0,0,0
G389,Done,11/3/03,,10/25/07,,Great River Energy,Sherburne County,MN,27141,,,Network Upgrade,NRIS,Elk River 230 kV substation,200,200,Gas,CT Combined-Cycle Combustion ? Turbine Part,In Service,8/1/04,0,0,0,0
G390,Withdrawn,11/3/03,6/29/15,10/25/07,3/15/12,Great River Energy,Sherburne County,MN,27141,,,Network Upgrade,NRIS,Elk River 230 kV substation,100,100,Gas,CT Combustion Turbine (Simple Cycle),Withdrawn,5/30/12,0,0,0,0
G385,Done,11/7/03,,8/29/05,,ITC Midwest,Nobles County,MN,27105,G385,G385,Network Upgrade,NRIS,Larkin 24kV,2,2,Wind,WT Wind Turbine,In Service,7/1/04,0,0,0,0
G372,Withdrawn,11/10/03,4/30/04,4/30/04,,Northern States Power (Xcel Energy),Pope County,MN,27121,,,,ERIS,Unknown,1.65,1.65,Wind,WT Wind Turbine,Not Started,5/1/09,0,0,0,0
G375,Done,11/10/03,,8/5/05,,ITC Midwest,Cottonwood County,MN,27033,G375,G375,Network Upgrade,NRIS,Bat Lake - Mt. Lake 69kV,20,20,Wind,WT Wind Turbine,In Service,5/1/05,0,0,0,0
G376,Done,11/10/03,,3/17/06,,American Transmission Co. LLC,Green Lake County,WI,55047,G376,G376,Network Upgrade,ERIS,Green Lake - North Fond du Lac 138 kV,160,160,Wind,WT Wind Turbine,Withdrawn,4/7/06,0,0,0,0
G374,Done,11/13/03,,5/27/05,4/7/06,Great River Energy,Nobles County,MN,27105,G374,G374,Network Upgrade,NRIS,Rushmore 69kV Substation,6,6,Wind,WT Wind Turbine,In Service,5/1/05,0,0,0,0
G377,Withdrawn,11/18/03,3/5/04,3/5/04,,"Minnesota Power (Allete, Inc.)",St. Louis County,MN,27137,,,,ERIS,Unknown,200,200,Wind,WT Wind Turbine,Not Started,11/1/04,0,0,0,0
G378,Withdrawn,11/20/03,2/17/04,2/17/04,,American Transmission Co. LLC,Rock County,WI,55105,,,,ERIS,Unknown,100,100,Wind,WT Wind Turbine,Not Started,4/1/04,0,0,0,0
G379,Withdrawn,11/20/03,2/17/04,2/17/04,,American Transmission Co. LLC,Walworth County,WI,55127,,,,ERIS,Unknown,100,100,Wind,WT Wind Turbine,Not Started,11/1/05,0,0,0,0
G281,Withdrawn,11/21/03,11/22/04,11/22/04,,American Transmission Co. LLC,Green County,WI,55045,G281,G281,Network Upgrade,ERIS,Unknown,130,130,Wind,WT Wind Turbine,Withdrawn,12/1/05,0,0,0,0
G380,Done,11/21/03,,4/11/06,,Otter Tail Power Company,Pierce County,ND,38069,G380,G380,Network Upgrade,ERIS,Rugby 115kV Substation,150,150,Wind,WT Wind Turbine,In Service,12/1/05,0,0,0,0
G382,Done,11/26/03,,3/25/05,,Northern States Power (Xcel Energy),Pipestone County,MN,27117,G382,G382,Network Upgrade,NRIS,Chanarambie 115kV,8,8,Wind,WT Wind Turbine,In Service,11/30/07,0,0,0,0
G383,Done,12/1/03,,3/19/04,,Wisconsin Public Service Corporation,Kewaunee County,WI,55061,G383,G383,Network Upgrade,ERIS,Kewaunee Substation,5,5,Nuclear,"ST Steam Turbine (including nuclear, geothermal and solar steam, excluding combined-cycle)",In Service,11/1/02,0,0,0,0
G384,Done,12/8/03,,1/11/06,,Wisconsin Public Service Corporation,Manitowoc County,WI,55071,G384,G384,Network Upgrade,ERIS,Mishicot 138 kV substation,99,99,Wind,WT Wind Turbine,Withdrawn,7/31/07,0,0,0,0
G386,Done,12/12/03,,3/21/07,,Northern States Power (Xcel Energy),Martin County,MN,27091,G386,G386,Network Upgrade,NRIS,Lakefield Substation 345kV,100,100,Wind,WT Wind Turbine,In Service,10/15/07,0,0,0,0
G172,Done,12/23/03,,12/27/07,10/1/08,ITC Midwest,Mower County,MN,27099,G172,G172,Network Upgrade,ERIS,Adams Substation,300,300,Wind,WT Wind Turbine,In Service,1/1/08,0,0,0,0
G387,Withdrawn,12/30/03,7/22/04,7/22/04,,ITC Midwest,Nobles County,MN,27105,,,,ERIS,Unknown,19.79,19.79,Wind,WT Wind Turbine,Not Started,12/1/04,0,0,0,0
G391,Withdrawn,1/13/04,1/3/06,1/3/06,,American Transmission Co. LLC,Kewaunee County,WI,55061,,,,ERIS,Unknown,10,10,Nuclear,,Not Started,12/1/04,0,0,0,0
G396,Done,1/13/04,,6/3/04,,Otter Tail Power Company,Grant County,SD,46051,G396,G396,Network Upgrade,ERIS,Milbank 41.6kV,2,2,Diesel,"IC Internal Combustion (diesel, piston) Engine",In Service,7/1/04,0,0,0,0
IP01,Done,1/14/04,9/26/06,9/26/06,,Ameren Illinois,McLean County,IL,17113,IP01,IP01,SPA - SIS,NRIS,"McLean County #6, 69 kV, Line 6612",50,50,Wind,WT Wind Turbine,Withdrawn,12/1/12,0,0,0,0
IP02,Withdrawn,1/14/04,5/1/05,5/1/05,,Ameren Illinois,McLean County,IL,17113,,,Network Upgrade,NRIS,McLean County #7 Line 1582,79.19,79.19,Wind,WT Wind Turbine,Not Started,3/31/11,0,0,0,0
IP03,Done,1/14/04,,8/6/07,,Ameren Illinois,McLean County,IL,17113,,,Network Upgrade,NRIS,McLean County #8 Line 1376,79,79,Wind,WT Wind Turbine,Withdrawn,12/1/10,0,0,0,0
G394,Withdrawn,1/21/04,8/23/04,8/23/04,,Northern States Power (Xcel Energy),Lincoln County,MN,27081,,,,ERIS,Unknown,6.6,6.6,Wind,WT Wind Turbine,Not Started,6/1/05,0,0,0,0
G395,Withdrawn,1/21/04,8/23/04,8/23/04,,Northern States Power (Xcel Energy),Lincoln County,MN,27081,,,,ERIS,Unknown,4.94,4.94,Wind,WT Wind Turbine,Not Started,3/1/04,0,0,0,0
G397,Done,1/22/04,,3/25/05,8/15/05,Northern States Power (Xcel Energy),Pipestone County,MN,27117,G397,G397,Network Upgrade,NRIS,Chanarambie 115kV,5,5,Wind,WT Wind Turbine,In Service,1/1/09,0,0,0,0
G398,Done,1/22/04,,5/27/05,11/1/05,Northern States Power (Xcel Energy),Pipestone County,MN,27117,G398,G398,Network Upgrade,NRIS,Chanarambie 115kV,2,2,Wind,WT Wind Turbine,In Service,1/1/10,0,0,0,0
G400,Withdrawn,1/26/04,6/2/04,6/2/04,,Great River Energy,McLeod County,MN,27085,,,,ERIS,Unknown,5,5,,,Not Started,3/31/04,0,0,0,0
G392,Withdrawn,2/3/04,11/2/09,11/2/09,,Otter Tail Power Company,Grant County,SD,46051,G392,G392,Network Upgrade,NRIS,Bigstone 230kV Substation,600,600,Coal,,Not Started,1/1/07,0,0,0,0
G402,Withdrawn,2/9/04,7/12/04,7/12/04,,Northern States Power (Xcel Energy),Lincoln County,MN,27081,,,,ERIS,Unknown,3.3,3.3,Wind,WT Wind Turbine,Not Started,6/1/05,0,0,0,0
G404,Withdrawn,2/11/04,3/17/04,3/17/04,,Otter Tail Power Company,Deuel County,SD,46039,,,,ERIS,Unknown,80,80,,,Not Started,7/1/05,0,0,0,0
G405,Done,2/17/04,,5/23/06,,Northern States Power (Xcel Energy),Goodhue County,MN,27049,,,Network Upgrade,NRIS,Cannon Falls Sub,350,350,Gas,Combined Cycle,In Service,7/1/04,0,0,0,0
G407,Withdrawn,2/20/04,2/2/06,2/2/06,,Northern States Power (Xcel Energy),Blue Earth County,MN,27013,,,,ERIS,Unknown,667,667,Combined Cycle,,Not Started,11/1/04,0,0,0,0
G409,Done,2/23/04,,7/13/04,,Montana-Dakota Utilities Company,Dawson County,MT,30021,,,Network Upgrade,ERIS,Glendive,2,2,Diesel,"IC Internal Combustion (diesel, piston) Engine",In Service,12/1/07,0,0,0,0
G410,Withdrawn,2/23/04,3/7/05,3/7/05,,American Transmission Co. LLC,Kewaunee County,WI,55061,G410,G410,Network Upgrade,NRIS,Kewaunee - East Krok 138kV,99,99,Wind,WT Wind Turbine,Not Started,12/31/05,0,0,0,0
G411,Withdrawn,2/25/04,7/22/04,7/22/04,,Northern States Power (Xcel Energy),Watonwan County,MN,27165,,,,ERIS,Unknown,19.79,19.79,Wind,WT Wind Turbine,Not Started,12/1/05,0,0,0,0
G408,Done,3/2/04,,11/22/05,,Great River Energy,McHenry County,ND,38049,G408,G408,Network Upgrade,ERIS,McHenry - Souris 115kV,12,12,Wind,WT Wind Turbine,In Service,11/1/05,0,0,0,0
G412,Done,3/3/04,,2/16/07,,"City of Springfield, IL - CWLP",Sangamon County,IL,17167,,,SPA - SIS,NRIS,Dallman Substation (138 kV),200,200,Coal,OT Other,In Service,3/1/04,0,0,0,0
G413,Withdrawn,3/8/04,7/15/05,7/15/05,,Ameren Illinois,McLean County,IL,17113,,,,ERIS,Unknown,150,150,Wind,WT Wind Turbine,Not Started,6/1/06,0,0,0,0
G414,Withdrawn,3/10/04,8/2/04,8/2/04,,Northern States Power (Xcel Energy),Clay County,MN,27027,,,,ERIS,Unknown,10,10,Wind,WT Wind Turbine,Not Started,12/1/05,0,0,0,0
G415,Withdrawn,3/10/04,4/26/04,4/26/04,,American Transmission Co. LLC,Waupaca County,WI,55135,,,,ERIS,Unknown,25,25,Diesel,,Not Started,12/1/05,0,0,0,0
G416,Withdrawn,3/17/04,4/4/05,4/4/05,,Northern States Power (Xcel Energy),Washington County,MN,27163,,,Feasibility,NRIS,Unknown,300,300,Combined Cycle,,Not Started,12/1/04,0,0,0,0
G417,Done,3/22/04,,9/28/07,,Northern States Power (Xcel Energy),Scott County,MN,27139,G417,G417,Network Upgrade,NRIS,Shakopee - Scott 69 kV,15,15,Biomass,OT - co-gen,In Service,6/1/06,0,0,0,0
G418,Withdrawn,3/22/04,12/7/10,12/7/10,6/30/12,"Michigan Electric Transmission Company, LLC",Oceana County,MI,26127,G418,G418,Network Upgrade,NRIS,Donaldson Creek 138 kV Substation,140,140,Wind,WT Wind Turbine,Withdrawn,5/1/09,0,0,0,0
G419,Withdrawn,3/22/04,5/10/04,5/10/04,,Northern States Power (Xcel Energy),Lyon County,IA,19119,,,,ERIS,Unknown,1.5,1.5,Wind,WT Wind Turbine,Not Started,12/31/05,0,0,0,0
G420,Withdrawn,3/22/04,11/8/04,11/8/04,,American Transmission Co. LLC,Marathon County,WI,55073,,,SPA - SIS,NRIS,Wien 115kV,99,99,Wind,WT Wind Turbine,Not Started,5/1/08,0,0,0,0
G421,Withdrawn,3/22/04,12/2/04,12/2/04,,American Transmission Co. LLC,Brown County,WI,55009,,,SPA - SIS,NRIS,Wesmark - Finger Road 69kV,50,50,Wind,WT Wind Turbine,Not Started,9/1/05,0,0,0,0
G359,Withdrawn,3/27/04,4/3/16,4/27/10,12/1/12,Montana-Dakota Utilities Company,Dickey County,ND,38021,Pre-Transition SIS,,DPP - SIS,ERIS,MDU 230 kV system near Ellendale,150,150,Wind,WT Wind Turbine,Withdrawn,5/1/06,0,0,0,0
G423,Withdrawn,4/7/04,9/9/04,9/9/04,,American Transmission Co. LLC,Columbia County,WI,55021,,,,ERIS,Unknown,19,19,Wind,WT Wind Turbine,Not Started,12/1/06,0,0,0,0
G424,Done,4/19/04,,8/4/06,,"Minnesota Power (Allete, Inc.)",St. Louis County,MN,27137,,,Network Upgrade,ERIS,Minntac Substation,100,100,Wind,WT Wind Turbine,In Service,12/31/05,0,0,0,0
IP04,Done,4/22/04,,8/28/07,,Ameren Illinois,McLean County,IL,17113,,,Network Upgrade,NRIS,"Mcean County #9 , 138 kV, Line 1382",150,150,Wind,WT Wind Turbine,In Service,12/1/04,0,0,0,0
G425,Withdrawn,4/23/04,5/6/04,5/6/04,,Great River Energy,Jackson County,MN,27063,,,,ERIS,Unknown,200,200,Wind,WT Wind Turbine,Not Started,12/1/06,0,0,0,0
G426,Done,5/4/04,,10/13/05,,ITC Midwest,Jackson County,MN,27063,G426,G426,Network Upgrade,ERIS,Lakefield Junction - Triboji 161kV,101,101,Wind,WT Wind Turbine,In Service,10/1/07,0,0,0,0
G430,Withdrawn,5/8/04,8/19/05,8/19/05,,Great River Energy,Pope County,MN,27121,,,,ERIS,Unknown,8.25,8.25,Wind,WT Wind Turbine,Not Started,6/1/05,0,0,0,0
L002,Done,5/11/04,,,,Northern States Power (Xcel Energy),Scott County,MN,27139,,,,ERIS,Unknown,-28,-28,,,Not Started,10/30/15,0,0,0,0
G427,Done,5/14/04,,11/10/05,,Wisconsin Electric Power Company,Fond du Lac County,WI,55039,,,Optional,NRIS,Acadian - Forest Junction 345kV,98,98,Wind,WT Wind Turbine,Withdrawn,12/1/04,0,0,0,0
G428,Done,5/24/04,,6/19/06,,Northern States Power (Xcel Energy),Wright County,MN,27171,,,SPA - SIS,ERIS,Monticello Nuclear Generating Station,10,10,Nuclear,Nuclear,In Service,9/1/05,0,0,0,0
L003,Done,5/24/04,,,,"Michigan Electric Transmission Company, LLC",Lenawee County,MI,26091,,,,ERIS,Unknown,-10,-10,,,Not Started,,0,0,0,0
G429,Withdrawn,5/28/04,7/13/04,7/13/04,,Northern States Power (Xcel Energy),Jackson County,MN,27063,,,,ERIS,Lakefield Gen Station 345kV,200,200,Wind,WT Wind Turbine,Not Started,6/1/06,0,0,0,0
G431,Done,6/14/04,,7/9/07,,Duke Energy Corporation,Knox County,IN,18083,,,SPA - SIS,NRIS,Edwardsport Gen Station,420,420,Gas,Combined Cycle,In Service,12/1/07,0,0,0,0
G432,Withdrawn,6/17/04,11/16/11,11/16/11,,Ameren Illinois,Ford County,IL,17053,Pre-Transition SIS,CIGS,SPA - SIS,NRIS,Gibson City,65,65,Wind,WT Wind Turbine,Not Started,12/1/05,0,0,0,0
G433,Done,6/25/04,,6/19/06,,Northern States Power (Xcel Energy),Goodhue County,MN,27049,,,SPA - SIS,NRIS,Prairie Island Nuclear Generating Plant Unit #1,19,19,Nuclear,Nuclear,In Service,11/1/05,0,0,0,0
G434,Done,6/25/04,,6/19/06,,Northern States Power (Xcel Energy),Goodhue County,MN,27049,,,SPA - SIS,NRIS,Prairie Island Nuclear Generating Plant Unit #2,19,19,Nuclear,Nuclear,In Service,7/1/06,0,0,0,0
G399,Withdrawn,7/2/04,10/27/05,10/27/05,,Duke Energy Corporation,Vigo County,IN,18167,G399,G399,SPA - SIS,ERIS,Wabash River,300,300,Combined Cycle,,Not Started,7/1/04,0,0,0,0
G435,Withdrawn,7/6/04,10/13/04,10/13/04,,Ameren Illinois,Williamson County,IL,17199,,,,ERIS,Ameren E. West Frankfort,545,494,Combined Cycle,,Not Started,7/1/10,0,0,0,0
G436,Done,7/21/04,,2/22/06,,Ameren Illinois,Jasper County,IL,17079,G436,G436,Network Upgrade,NRIS,Newton 345kV,50,50,Coal,"ST Steam Turbine (including nuclear, geothermal and solar steam, excluding combined-cycle)",In Service,7/1/10,0,0,0,0
L004,Done,7/22/04,,,,FirstEnergy Solutions Corp.,Williams County,OH,39171,,,,ERIS,Unknown,-22,-22,,,Not Started,4/1/09,0,0,0,0
G438,Withdrawn,7/26/04,7/7/09,7/7/09,,Otter Tail Power Company,Marshall County,SD,46091,Pre-Transition SIS,CS5,SPA - SIS,NRIS,41.6 kV line served out of Browns Valley 230 kV source,20,20,Wind,WT Wind Turbine,Not Started,5/1/07,0,0,0,0
G439,Done,7/29/04,,4/5/07,,Northern Indiana Public Service Company,Benton County,IN,18007,,,Network Upgrade,NRIS,Morrison Ditch 138 kV,100,100,Wind,WT Wind Turbine,In Service,12/1/05,0,0,0,0
G441,Withdrawn,8/12/04,6/24/05,6/24/05,,ITC Transmission,Sarnia,,#N/A,G441,G441,SPA - SIS,ERIS,Bunce Creek Substation,439,439,Gas,CT Combined-Cycle Combustion ? Turbine Part,Not Started,5/1/06,0,0,0,0
G450,Withdrawn,8/13/04,9/27/04,9/27/04,,Otter Tail Power Company,Rolette County,ND,38079,,,,ERIS,Unknown,1,1,Wind,WT Wind Turbine,Not Started,11/30/06,0,0,0,0
G442,Done,8/18/04,,11/8/05,5/15/06,ITC Midwest,Cottonwood County,MN,27033,G442,G442,Network Upgrade,ERIS,Storden 69 KV,50,50,Wind,WT Wind Turbine,In Service,6/1/10,0,0,0,0
G443,Done,8/23/04,,6/10/05,,Northern States Power (Xcel Energy),Lincoln County,MN,27081,G443,G443,Network Upgrade,NRIS,Buffalo Ridge 115kV,7,7,Wind,WT Wind Turbine,In Service,12/1/07,0,0,0,0
G444,Done,8/23/04,,6/10/05,,Northern States Power (Xcel Energy),Lincoln County,MN,27081,G444,G444,Network Upgrade,NRIS,Buffalo Ridge 115kV,5,5,Wind,WT Wind Turbine,In Service,9/30/05,0,0,0,0
G445,Withdrawn,8/25/04,4/12/05,4/12/05,,ITC Midwest,Howard County,IA,19089,,,Feasibility,NRIS,Unknown,200,200,Wind,WT Wind Turbine,Not Started,12/1/05,0,0,0,0
G446,Withdrawn,9/2/04,7/13/05,7/13/05,,Montana-Dakota Utilities Company,LaMoure County,ND,38045,,,,ERIS,Unknown,19.5,19.5,Wind,WT Wind Turbine,Not Started,,0,0,0,0
G447,Withdrawn,9/2/04,8/29/05,8/29/05,,Duke Energy Corporation,Clinton County,IN,18023,,,,ERIS,Kokomo - Thorntown 230kV,150,150,Wind,WT Wind Turbine,Withdrawn,9/30/06,0,0,0,0
G448,Withdrawn,9/3/04,8/29/05,8/29/05,,Ameren Missouri,Schuyler County,MO,29197,,,Feasibility,ERIS,Adair - Appanoose 161 kV,100,100,Wind,WT Wind Turbine,Not Started,10/1/05,0,0,0,0
G449,Withdrawn,9/3/04,9/29/04,9/29/04,,Ameren Missouri,Nodaway County,MO,29147,,,,ERIS,Maryville - Creston 161kV,100,100,Wind,WT Wind Turbine,Not Started,11/30/06,0,0,0,0
L006,Done,9/27/04,,,,"Michigan Electric Transmission Company, LLC",Otsego County,MI,26137,,,,ERIS,Unknown,-5,-5,,,Not Started,6/1/05,0,0,0,0
G474,Done,10/1/04,,5/25/07,,Otter Tail Power Company,Grant County,MN,27051,G474,G474,Network Upgrade,ERIS,OTP Cyrus - Hoffman 41.6kV,20,20,Wind,WT Wind Turbine,In Service,7/1/05,0,0,0,0
G475,Done,10/7/04,,2/3/06,,Ameren Missouri,Callaway County,MO,29027,,,Network Upgrade,NRIS,Callaway Nuclear Station,56,56,Nuclear,Nuclear,In Service,11/30/07,0,0,0,0
G476,Withdrawn,10/13/04,8/1/05,8/1/05,,Ameren Illinois,Williamson County,IL,17199,,,,NRIS,East/West Frankfort 345 kV Substation,545,494,Coal,,Not Started,10/31/04,0,0,0,0
G478,Done,10/15/04,,10/11/05,,Ameren Illinois,Madison County,IL,17119,,,SPA - SIS,NRIS,Venice Switchyard at breaker position 32H,134,134,Gas,CT Combustion Turbine (Simple Cycle),In Service,11/1/05,0,0,0,0
G477,Done,10/20/04,,7/9/07,,"Minnesota Power (Allete, Inc.)",St. Louis County,MN,27137,,,Network Upgrade,NRIS,Forbes Substation,552,552,Coal,,Withdrawn,7/1/05,0,0,0,0
G479,Done,10/26/04,,8/29/06,,"Michigan Electric Transmission Company, LLC",Ottawa County,MI,26139,,,SPA - SIS,NRIS,Campbell 345kV Substation,29,29,Coal,OT Other,In Service,8/1/08,0,0,0,0
G481,Done,11/1/04,,5/11/05,8/1/05,Otter Tail Power Company,Rolette County,ND,38079,G481,G481,Network Upgrade,ERIS,Belcourt 69kV Substation,1,1,Wind,WT Wind Turbine,In Service,3/15/07,0,0,0,0
G480,Withdrawn,11/9/04,11/1/05,11/1/05,,FirstEnergy Solutions Corp.,Madison County,OH,39097,,,,NRIS,East Springfield - Tangy 138 kV,80,80,Wind,WT Wind Turbine,Not Started,8/8/05,0,0,0,0
L008,Done,11/15/04,,,,FirstEnergy Solutions Corp.,Delaware County,OH,39041,,,,ERIS,Unknown,-4,-4,,,Not Started,10/1/04,0,0,0,0
G482,Withdrawn,11/19/04,2/24/06,2/24/06,,FirstEnergy Solutions Corp.,Ashtabula County,OH,39007,,,,NRIS,ATSI Perry - Ashtabula,1200,1200,Coal,CT Combined-Cycle Combustion ? Turbine Part,Not Started,11/30/06,0,0,0,0
G483,Done,11/23/04,,4/12/06,,American Transmission Co. LLC,Green County,WI,55045,G483,G483,Network Upgrade,NRIS,69kV line S.E. of Monroe,50,50,Wind,WT Wind Turbine,Withdrawn,11/1/05,0,0,0,0
G484,Withdrawn,11/24/04,9/20/06,9/20/06,,Duke Energy Corporation,Switzerland County,IN,18155,,,SPA - SIS,NRIS,Egypt Bottom 345 kV Substation,1290,1290,Coal,"ST Steam Turbine (including nuclear, geothermal and solar steam, excluding combined-cycle)",Not Started,10/31/04,0,0,0,0
